2025-08-22 11:27:02,631 | INFO |   写出: xyz_output\feet\028_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,649 | INFO |   写出: xyz_output\feet\029_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,666 | INFO |   写出: xyz_output\feet\029_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,684 | INFO |   写出: xyz_output\feet\030_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,702 | INFO |   写出: xyz_output\feet\030_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,719 | INFO |   写出: xyz_output\feet\031_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,736 | INFO |   写出: xyz_output\feet\031_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,755 | INFO |   写出: xyz_output\feet\032_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,773 | INFO |   写出: xyz_output\feet\032_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,792 | INFO |   写出: xyz_output\feet\033_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,813 | INFO |   写出: xyz_output\feet\033_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,833 | INFO |   写出: xyz_output\feet\034_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,878 | INFO |   写出: xyz_output\feet\034_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:02,917 | INFO |   写出: xyz_output\feet\035_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,018 | INFO |   写出: xyz_output\feet\035_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,060 | INFO |   写出: xyz_output\feet\036_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,080 | INFO |   写出: xyz_output\feet\036_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,098 | INFO |   写出: xyz_output\feet\037_foot_L.xyz | 点数=4096 | 含法向量
